Kernel Name,Block Size,Grid Size,metric,Value
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),gpu__time_duration.sum,7.328000
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),dram__bytes_read.sum,25.856000
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),dram__bytes_write.sum,0
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_read.sum,640.000000
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_write.sum,128.000000
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),lts__t_sector_hit_rate.pct,99.853227
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active,0.805639
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),smsp__inst_executed.sum,739.000000
