Kernel Name,Block Size,Grid Size,metric,Value
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),gpu__time_duration.sum,7.520000
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),dram__bytes_read.sum,27.136000
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),dram__bytes_write.sum,0
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_read.sum,640.000000
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_write.sum,284.000000
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),lts__t_sector_hit_rate.pct,97.472319
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active,1.472618
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),smsp__inst_executed.sum,799.000000
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_read_lookup_hit,9.0
kernel(CUtensorMap_st, CUtensorMap_st, __half *, unsigned int *),(128, 1, 1),(1, 1, 1),lts__t_sectors_srcunit_tex_op_read_lookup_miss,9.0
